no;share;id;year;RGO;L;K;RI
82;-0.312979519;10008;86;11.53039556;6.240009777;10.23344229;11.22018541
83;-0.353904545;10008;87;11.66541651;6.520687284;10.38113668;11.3167509
84;-0.256133974;10008;88;11.71724686;6.379988251;10.34004598;11.46545618
85;-0.288535982;10008;89;11.58565723;6.517604375;10.30400679;11.30237022
86;-0.304008573;10008;90;11.51832974;6.323437542;10.26033356;11.22094929
87;-0.276229739;10008;91;11.50782655;6.343462326;10.23615681;11.23773412
88;-0.143094227;10010;81;8.15676834;3.53198973;6.821410605;8.01490096
89;-0.187787816;10010;82;8.170815702;3.480896355;7.16541272;7.983558962
90;-0.20886676;10010;83;8.130273242;3.473190458;7.219981295;7.920596366
91;-0.247538105;10010;84;8.050636427;3.365847894;7.166738779;7.800052746
92;-0.246549994;10010;85;7.93407178;3.500779094;7.115890081;7.681679385
93;-0.268869311;10010;86;7.888332211;3.591594488;7.315918891;7.612059893
94;-0.249870658;10010;87;7.639382965;3.575832528;7.404298955;7.381744334
95;-0.349119574;10010;88;7.590389197;3.670167571;7.426309335;7.229942975
96;-0.293901861;10010;89;7.56182823;3.503916052;7.416241425;7.258453671
97;-0.264067978;10010;90;7.360794146;3.395469261;7.361527191;7.083125444
98;-0.232856721;10010;91;7.137757191;3.074624776;7.283727711;6.897001188
99;-0.237481207;10011;81;8.247010429;3.271113539;5.221279092;8.020854731
100;-0.562691927;10011;82;8.555452655;3.900484216;8.237398809;8.002519598
101;-0.336680591;10011;83;9.13888381;4.673373297;9.086320299;8.812547078
102;-0.370178908;10011;84;9.343874914;4.930441555;9.483435764;8.984484528
103;-0.486383647;10011;85;9.75559686;5.030263378;9.459733707;9.306042254
104;-0.414946079;10011;86;9.779571945;5.030316741;9.430973509;9.384831218
105;-0.337852776;10011;87;9.63097134;5.429318457;9.415588103;9.320888182
106;-0.258676529;10011;88;9.910408663;5.57351827;9.383570187;9.657857905
107;-0.281486541;10011;89;10.06637897;5.524383401;9.403376136;9.790670596
108;-0.223666698;10011;90;10.01036612;5.690629127;9.369158629;9.79190896
109;-0.226221114;10011;91;10.08547279;5.552503018;9.344900288;9.862346395
110;-0.376732916;10012;81;10.03143215;5.242643168;7.734423629;9.656145859
111;-0.283789843;10012;82;10.00202494;5.155452214;8.401771928;9.717019363
112;-0.403705209;10012;83;10.1306779;5.132617851;8.475737349;9.726275731
113;-0.360132724;10012;84;10.19290167;5.096460063;8.574974529;9.829673122
114;-0.396401525;10012;85;10.16713;5.067748857;8.638435082;9.770568361
115;-0.396680653;10012;86;10.25986615;5.213648298;8.61887234;9.861418239
116;-0.329291373;10012;87;10.45812602;5.348901589;8.857120599;10.12809612
117;-0.274740726;10012;88;10.47636656;5.29102445;8.928715762;10.20121918
118;-0.257202595;10012;89;10.49407325;5.375364023;8.989026384;10.23635082
119;-0.302715391;10012;90;10.61349569;5.363212498;9.150503593;10.31022464
120;-0.312820196;10012;91;10.81278081;5.628996861;9.168374128;10.50026805
121;-0.111979105;10013;81;8.814672089;3.07065118;7.184633502;8.704352474
122;-0.271518469;10013;82;8.777729916;3.492772015;7.463340424;8.506767746
123;-0.192954898;10013;83;9.000804498;4.164316043;7.58127836;8.807301663
124;-0.250004351;10013;84;9.093222423;4.005331032;7.555011513;8.83940873
125;-0.259242862;10013;85;8.990547767;4.672840671;7.829718175;8.72604954
126;-0.185905561;10013;86;8.945808565;4.436352288;7.770194554;8.750968617
127;-0.073400691;10015;82;10.79043942;5.128115188;8.945607396;10.72019117
128;-0.105101295;10015;83;10.81316632;4.777299816;8.879394837;10.71149902
129;0.044551603;10015;84;9.591009037;4.476333393;8.818089282;9.643447182
130;0.032106951;10015;85;8.697743649;4.591228619;8.444907236;8.749486165
131;0.179877505;10015;86;7.388864085;4.255532625;8.397553697;7.631136095
132;0.032365277;10015;87;6.140065142;3.391750369;8.341948643;6.237677228
133;0.172572687;10015;88;6.888324182;1.899432568;8.287188141;7.092447985
134;-0.278276563;10016;81;8.027900739;4.063838306;6.422979602;7.755425315
135;-0.255956799;10016;82;8.192597898;3.74471979;6.583795788;7.939787554
136;-0.337497473;10016;83;8.362938958;3.686292799;6.696111815;8.026975854
137;-0.251262605;10016;84;8.315080235;3.625077559;6.601079012;8.068085112
138;-0.346188128;10016;85;8.438844223;4.210887137;6.605421223;8.098569376
139;-0.259468287;10016;86;8.521990455;4.344833672;7.03388737;8.265737947
140;-0.171155289;10016;87;9.007770169;4.521541669;7.079975225;8.838397115
141;-0.172282323;10016;88;8.932128098;4.453926349;6.99186808;8.76407959
142;-0.189555243;10016;89;8.855660785;4.396763456;6.931215592;8.669159064
143;-0.517919481;10016;90;8.613893562;4.484757152;7.574685622;8.098537316
144;-0.196451321;10016;91;8.566564474;4.65659628;7.551457079;8.375651566
145;-0.033527251;10017;81;9.780986508;4.487730119;7.543457276;9.749967761
146;-0.091413483;10017;82;9.950872526;4.361217012;7.477957826;9.861130261
147;-1.265342593;10017;83;7.593529521;4.260926374;7.869386967;6.365468634
148;-0.065310851;10017;84;10.08871553;4.266475863;7.800449277;10.02594541
149;-0.063018821;10017;85;10.10029314;4.150100028;7.732050215;10.03993857
150;-0.054597467;10017;86;9.929188517;4.231288064;7.664200206;9.877325037
151;-0.057723444;10017;87;10.22138275;4.276788818;7.612726324;10.16578248
152;-0.053683233;10017;88;10.18240324;4.239284052;7.87652375;10.13031961
153;-0.040390223;10017;89;10.27560356;4.235282288;7.828413219;10.23517114
154;-0.038204454;10017;90;10.27454007;4.164454871;7.803643387;10.23683955
155;-0.039496567;10017;91;10.38945236;4.320273233;7.760937404;10.34701297
156;-0.171429753;10018;81;10.80393341;6.152561587;8.05933141;10.63391095
157;-0.23493515;10018;82;10.8270468;5.75165291;8.46112319;10.59139653
158;-0.30096671;10018;83;10.65332156;5.294179637;9.207679609;10.35358576
159;-0.372554392;10018;84;10.80237809;5.351450836;9.137814936;10.43317959
160;-0.230266035;10018;85;10.8940823;5.406667488;9.120670884;10.66559857
161;-0.385044783;10018;86;10.69435155;5.705029459;9.066284708;10.30956673
162;-0.062610842;10018;87;10.70653671;5.806770916;8.985259031;10.64452587
163;-0.187914908;10018;88;10.70432;5.634650412;8.905618964;10.51857659
164;-0.172946036;10018;89;10.57333672;5.632213219;8.838669835;10.40453506
165;-0.186500311;10018;90;10.47334149;5.354822041;8.83262895;10.28857602
166;-0.181025878;10018;91;10.35152325;5.33725179;8.873121343;10.17469169
167;-0.267643422;10019;81;10.71835886;5.398183553;9.679180238;10.46811276
168;-0.416305661;10019;82;10.88774354;5.611060353;9.680565656;10.46353907
169;-0.397085756;10019;83;10.97931262;5.621353754;9.677733786;10.57948361
170;-0.252895325;10019;84;10.88849726;5.540361913;9.748949786;10.63415347
171;-0.190889537;10019;85;10.82596877;5.131388091;9.724558516;10.63902996
172;-0.199656844;10019;86;10.81293823;5.149566991;9.691684725;10.61961437
173;-0.119569905;10019;87;10.90657871;5.126195628;9.712530851;10.77547057
174;-0.18469812;10019;88;10.94401724;5.367585164;9.677949535;10.75090019
175;-0.15072903;10019;89;10.9059028;5.330823065;9.643649625;10.75155423
176;-0.201726928;10019;90;10.89857517;5.553576725;9.66195737;10.6937524
177;-0.19849579;10019;91;11.08631233;6.139458465;9.652051144;10.88476653
178;-0.171850249;10020;81;7.486669352;2.882532425;3.173264152;7.318900756
179;-0.193881005;10020;82;7.405380042;2.885068963;3.087077984;7.212089737
180;-0.233327568;10020;83;7.340891205;2.945248371;3.212783467;7.101854838
181;-0.248295426;10020;84;7.336510371;2.963430266;3.597214641;7.082698917
182;-0.44926405;10020;85;6.772470327;2.788629287;3.63533436;6.315645146
183;-0.342340738;10020;86;6.779926693;2.784920039;3.728779576;6.433358028
184;-0.351064384;10020;87;6.675912731;2.789141225;3.798295095;6.318463319
185;-0.481088251;10020;88;6.322601729;2.715557188;3.804646383;5.834514262
186;-0.415770918;10020;89;6.250836198;2.715212714;4.077751561;5.835412163
187;-1.137130499;10020;90;5.087804379;2.208564079;3.982379672;3.950430711
188;-0.559323609;10020;91;5.896893428;2.217344871;4.010356302;5.337521647
189;-0.019772775;10021;81;10.30749157;4.746701709;7.697963924;10.28788203
190;-0.085319839;10021;82;10.43621654;4.28150573;8.477744968;10.35125387
191;-0.021881176;10021;83;10.35952169;4.384986556;8.132860608;10.33654167
192;-0.081041671;10021;84;10.37931871;4.691085789;8.193817148;10.29677293
193;-0.095728219;10021;85;10.10793046;4.182571485;8.218514813;10.01016909
194;-0.020072538;10022;81;10.37910977;4.845701485;7.837007834;10.35934422
195;-0.015942805;10022;82;10.44946987;4.995071485;7.817542585;10.43403733
196;-0.026835766;10022;83;10.49523879;5.203288428;7.814038288;10.46786298
197;-0.072761886;10022;84;10.5272275;5.156912917;7.815668636;10.45431168
198;-0.051181007;10022;85;10.25698466;4.056436733;7.791684423;10.20838043
199;-0.125537038;10022;86;10.01710324;4.286168066;7.752176307;9.893585367
200;-0.137535289;10022;87;10.16774396;4.329775393;7.707687192;10.03100311
201;-0.161361486;10022;88;10.11433883;4.329915356;7.711994104;9.953052807
202;-0.143608034;10022;89;10.14117976;3.982344614;7.737672073;9.996882014
203;-0.188895956;10022;90;10.16160287;3.9585612;7.725440192;9.971467411
204;-0.205123067;10022;91;10.29265792;4.15287936;7.718311402;10.10524346
205;-0.565905452;10023;81;8.861279227;3.634588237;8.169531288;8.313050231
206;-0.469289958;10023;82;8.864272823;4.341571281;8.315619348;8.401798671
207;-0.446587533;10023;83;8.899653919;4.376791493;8.273494798;8.462668943
208;-0.429851532;10023;84;8.672613405;4.191413619;8.363408184;8.279054843
209;-0.438279271;10023;85;8.378980995;3.429200257;8.363811161;7.992739151
210;-0.419836223;10023;86;8.762620435;4.258380564;8.421453564;8.362706599
211;-0.328627795;10023;87;9.183180925;4.268861495;8.37324343;8.860981582
212;-0.171419144;10025;81;10.87647993;5.128386501;8.653746697;10.7062335
213;-0.233924538;10025;82;10.97269497;5.548905908;8.668017362;10.7389077
214;-0.101456717;10025;83;11.22108036;5.694836122;9.045922812;11.11933249
215;-0.259369165;10025;84;10.92243866;5.690993112;9.198686795;10.66563193
216;-0.215440184;10025;85;10.77004775;5.731646066;9.214601398;10.5553625
217;-0.233394921;10025;86;10.71479044;5.810402268;9.467639396;10.48315782
218;-0.192773685;10025;87;11.03186733;5.898068641;9.606218329;10.8401036
219;-0.18194063;10025;88;11.16174344;6.125264392;9.645530253;10.98068094
220;-0.167322993;10025;89;11.24762714;6.138932069;9.708419082;11.08114879
221;-0.164353535;10025;90;11.23426208;5.842937862;9.701806961;11.06598269
222;-0.310833663;10025;91;11.38526821;6.264986705;9.698292674;11.07030655
223;-0.30511564;10026;81;7.222127985;3.46514612;4.646358666;6.920218006
224;-0.30959636;10026;82;7.235129861;3.449557422;4.539626358;6.927407222
225;-0.308697909;10026;83;7.25197626;3.449156626;4.433385421;6.942425696
226;-0.140434697;10026;84;9.793891517;4.204619853;4.985029066;9.652840501
227;-0.139288783;10026;85;10.00870657;4.220862239;5.600982381;9.869224607
228;-0.15343599;10026;86;9.792792303;4.438868999;5.532102943;9.636851207
229;-0.135610446;10026;87;9.718281684;4.770592356;5.684096772;9.580391673
230;-0.154543161;10026;88;9.468140073;4.846266366;6.058334776;9.312264198
231;-0.120699555;10026;89;9.339762613;4.833394801;6.253500811;9.218095186
232;-0.106730931;10026;90;9.51872906;4.941884136;6.374904822;9.410042159
233;-0.076499157;10026;91;9.607184704;4.993446478;6.405297662;9.52200277
234;-0.107909366;10027;81;11.47133543;5.047890584;9.169219769;11.36284086
235;-0.169978306;10027;82;11.64608577;5.512031283;9.39912432;11.47510531
236;-0.162670657;10027;83;11.60427269;5.395124769;9.736957833;11.44303766
237;-0.139158756;10027;84;11.66142427;5.399142719;9.809492114;11.52212157
238;-0.251717269;10027;85;11.68093487;5.384660656;10.02621563;11.43224316
239;-0.226702824;10027;86;11.75614269;5.573077488;10.05781403;11.53645131
240;-0.186103418;10027;87;11.97650273;5.77999876;10.14601644;11.79599045
241;-0.370743424;10027;88;12.05975504;5.827905684;10.33776229;11.69406442
242;-0.432017982;10027;89;12.46175907;5.877318707;10.39067605;12.02745273
243;-0.401277006;10027;90;12.38754821;5.950045374;10.63840693;11.98262719
244;-0.307911456;10027;91;12.33964591;6.086546096;10.65277265;12.0294863
245;-0.806251943;10028;81;10.23577604;5.290976032;8.390021666;9.467913278
246;-0.589411318;10028;82;10.02791849;5.136344104;8.265987184;9.466109544
247;-0.492527515;10028;83;9.951576764;5.594152831;8.451820156;9.482766228
248;-0.760666549;10028;84;10.00697233;5.528966312;8.474791988;9.275353786
249;-0.474197119;10028;85;9.813691585;5.21537402;8.679185977;9.371167099
250;-0.406250387;10028;86;9.934956884;5.55192062;9.019921826;9.559317039
251;-0.475536019;10028;87;10.34639094;5.873387718;9.146536789;9.898806693
252;-0.627024114;10028;88;10.54767937;5.65457398;9.389093966;9.952556975
253;-0.304490954;10028;89;10.42106048;5.320331492;9.290388368;10.13082558
254;-0.73152703;10028;90;10.82179866;5.494389645;9.140400938;10.11150295
255;-0.755627632;10028;91;10.70190263;5.403876745;9.089908739;9.966492428
256;-0.116883218;10029;81;10.66062079;5.296884685;8.306916879;10.53242168
257;-0.132759616;10029;82;11.10856467;5.459119785;8.967924529;10.9701975
258;-0.146386161;10029;83;11.13433934;5.281661713;9.038082189;10.98717938
259;-0.19382754;10029;84;11.01168849;5.158156907;9.105698131;10.81445335
260;-0.285300076;10029;85;11.19662281;5.128897815;9.183139382;10.91314588
261;-0.255644202;10029;86;11.26313811;5.181680591;9.857425003;11.01665197
262;-0.255115509;10029;87;11.1282261;5.023871084;9.82966429;10.87319486
263;-0.364222229;10029;88;11.19882862;5.365643261;9.800204738;10.83741788
264;-0.225309983;10029;89;11.17574093;5.44612124;9.805248753;10.95118983
265;-0.218488827;10029;90;11.19635254;5.391194766;9.85742623;10.98630505
266;-0.19093585;10029;91;11.14701436;5.290977031;9.815250425;10.96498192
267;-0.530517578;10030;81;9.723864305;5.521219189;8.130730327;9.200652384
268;-0.518428981;10030;82;9.963160527;5.632257037;8.609604643;9.446869174
269;-0.613629818;10030;83;9.812531688;5.707974319;8.82567313;9.193520608
270;-0.510105848;10030;84;9.912288457;5.62129377;8.833681498;9.394825115
271;-0.366182327;10030;85;9.994946309;5.748182728;8.861986045;9.618655387
272;-0.334017724;10030;86;10.16426643;5.754802004;9.062441301;9.818637368
273;-0.285277486;10030;87;10.45582536;5.843965471;9.244760858;10.15788704
274;-0.33885327;10030;88;10.52493469;5.981242959;9.461400981;10.17261242
275;-0.337976813;10030;89;10.33551579;6.090869628;9.527604618;9.980858124
276;-0.387640148;10030;90;10.21384396;5.958093755;9.487716542;9.807642493
277;-0.386707932;10030;91;10.27709717;5.742824957;9.447485366;9.878531959
278;-0.179681554;10031;81;10.1778564;4.588958319;6.945603403;10.00029945
279;-0.182380512;10031;82;10.30968846;4.826687049;7.350507391;10.12944417
280;-0.285445184;10031;83;10.53246135;4.4499511;7.614943738;10.24902039
281;-0.098966114;10031;84;10.41291658;3.939507722;7.713700434;10.31785833
282;-0.086852387;10031;85;10.3537353;3.989483223;7.818535445;10.27155267
283;-0.099683449;10031;86;10.3415624;4.187153684;8.186954562;10.24482114
284;-0.141584069;10031;87;10.36510566;4.715714971;8.217133398;10.22629981
285;-0.106811114;10031;88;10.75245389;4.598656556;8.395572062;10.6483669
286;-0.159068778;10031;89;10.82490706;4.574833277;8.475071321;10.66854924
287;-0.162065804;10031;90;10.81993562;4.568361217;8.603293656;10.66296785
288;-0.169302359;10031;91;10.84374846;4.401295698;8.652982324;10.67844781
289;-0.208104864;10032;81;11.84054434;6.37072159;10.44604699;11.63685734
290;-0.239229739;10032;82;11.84545389;6.140014046;10.86520484;11.61063348
291;-0.09486749;10032;83;11.63067614;5.994004044;10.99340079;11.54139895
292;-0.200171873;10032;84;11.65753582;5.961138334;10.97767713;11.46306453
293;-0.20919095;10032;85;11.6008947;5.946752269;10.98954466;11.39859927
294;-0.493847787;10032;86;11.49312717;5.842002578;11.0346322;11.00625176
295;-0.182368428;10032;87;11.40230426;6.411328062;11.03595563;11.22417584
296;-0.040621307;10032;88;11.3113303;5.904280509;10.97543404;11.27440928
297;-0.226471812;10032;89;11.63744368;5.829808803;10.97643014;11.4129322
298;-0.195332602;10032;90;12.087965;5.687825866;10.96544416;11.89290544
299;-0.198984474;10032;91;11.98119057;5.725420754;10.95757668;11.78320323
300;-0.37478441;10033;81;11.55476676;6.704662878;9.837424641;11.18194503
301;-0.353786349;10033;82;11.38491496;6.334503485;9.852537435;11.03254127
302;-0.332706183;10033;83;11.53841258;6.400081827;9.876581645;11.20441581
303;-0.383333951;10033;84;11.36574374;6.389351575;9.891253845;10.9779841
304;-0.371996552;10033;85;11.48998224;6.396071642;9.874983082;11.11268446
305;-0.404741317;10033;88;11.67020815;6.338680235;9.815051368;11.26042893
306;-0.321130455;10033;89;11.58911284;6.686116332;9.850600266;11.26330969
307;-0.4574081;10033;90;11.68376007;6.706419547;9.880772724;11.22635174
308;-0.351470053;10033;91;11.69188251;6.852260505;9.914841601;11.33636401
309;-0.188015819;10034;81;10.23399203;4.39963685;7.911288668;10.05088316
310;-0.188570723;10034;82;10.29063467;4.326770561;7.993476401;10.10448686
311;-0.171805233;10034;83;10.40154822;4.503838342;8.195104389;10.2332888
312;-0.153861016;10034;84;10.33291635;4.383882478;8.365497828;10.18146487
313;-0.182721913;10034;85;10.20619062;4.358062812;8.352675713;10.02775456
314;0.034311783;10034;86;10.12512387;4.457218476;8.337735771;10.16194734
315;-0.121923871;10034;87;10.26938889;4.739140535;8.371883555;10.15188461
316;-0.166255444;10034;88;10.5406267;4.664980914;8.527535424;10.37805777
317;-0.268509448;10034;90;10.69580049;4.886441103;8.667307948;10.43058949
318;-0.171549901;10034;91;10.75609323;4.983897437;8.639246091;10.5843338
319;-0.193711191;10035;81;10.55092062;4.384929408;9.248786578;10.35993796
320;-0.221238151;10035;82;10.56802817;4.533283362;9.269861996;10.34945129
321;-0.269290626;10035;83;10.39269513;4.67397031;9.240363455;10.13850201
322;-0.347340554;10035;84;10.51665194;4.355153471;9.821692766;10.18843224
323;-0.472544283;10035;85;10.65038125;4.294829465;9.771457376;10.20011286
324;-0.273223072;10035;86;10.47149238;4.595078234;9.810634216;10.19998684
325;-0.183126062;10035;87;10.73180369;4.420384139;9.981905413;10.55097705
326;-0.139555052;10035;88;10.50103921;4.480003371;9.937377734;10.36874691
327;-0.158605143;10035;89;10.6836623;4.084027958;9.864047456;10.52850864
328;-0.218821868;10035;90;10.77904727;4.11694907;9.844338959;10.56273079
329;-0.166584626;10035;91;10.82395533;4.323253525;9.821552121;10.66164915
330;-0.247249946;10036;81;10.07386724;3.711838972;6.594309837;9.832743043
331;-0.120954134;10036;82;10.34550436;3.863569992;7.239400034;10.23056535
332;-0.096175261;10036;83;10.48644988;3.932532672;7.493524597;10.39003935
333;-0.1532996;10036;84;10.2653327;3.954229759;7.624413329;10.11085664
334;-0.106649697;10036;85;10.12454925;3.818915286;7.653319317;10.01277103
335;-0.139227197;10036;86;10.08391091;3.854578161;7.744631451;9.938446644
336;-0.096791968;10036;87;10.32546595;3.956047046;7.851174203;10.22246771
337;-0.092562027;10036;88;10.62343935;4.338953862;8.16414128;10.52713225
338;-0.119000487;10036;89;10.91088725;4.490978079;8.28945058;10.78860273
339;-0.145046636;10036;90;10.93966355;4.551010238;8.405994486;10.79061889
340;-0.203771204;10036;91;11.03947152;4.711580543;8.411036243;10.83175225
341;-0.273549289;10037;81;9.877046016;3.94244563;7.677619896;9.605553827
342;-0.40505898;10037;82;9.856901705;4.144645416;8.150668136;9.454923843
343;-0.076474577;10037;83;10.01999877;3.982420133;8.413373589;9.94657473
344;-0.14527075;10037;84;10.16390243;4.069091048;8.400020565;10.02267914
345;-0.126201943;10037;85;9.828936258;4.580850352;8.482294578;9.705410377
346;-0.143813252;10037;86;9.760129577;4.375779286;8.471289439;9.622639173
347;-0.125043169;10037;87;9.657585141;4.028371025;8.491808674;9.53278478
348;-0.223479018;10037;88;9.58665944;4.090683388;8.515656073;9.367768877
349;-0.168911383;10037;89;9.733014277;4.292920913;8.686992415;9.567392901
350;-0.141520962;10037;90;9.897509072;4.396842953;8.759923124;9.758815651
351;-0.154576898;10037;91;10.06223782;4.390251915;8.858775258;9.908724791
352;-0.110918596;10038;81;12.01330314;5.919404893;9.586618685;11.90586696
353;-0.179693758;10038;82;12.07495922;6.525147783;9.794645833;11.89817957
354;-0.218052715;10038;83;12.33140579;6.502546516;10.32324361;12.1166757
355;-0.134616718;10038;84;12.41070301;6.38481175;10.54867059;12.27887284
356;-0.13968727;10038;85;12.53025245;5.931346093;10.7431046;12.39396006
357;-0.075244285;10038;86;12.61042255;6.514197874;10.85234878;12.53893133
358;-0.071754821;10038;87;12.78122726;6.656690985;10.89392794;12.71135679
359;-0.050346855;10038;88;12.85584069;6.750669775;10.90100956;12.80841775
360;-0.09968134;10038;89;12.95284723;6.899745441;10.94901423;12.85595287
361;-0.082003079;10038;90;12.94355783;6.98432347;10.92902072;12.86376831
362;-0.085441627;10038;91;12.93605473;7.120907481;10.9367462;12.85295008
363;-0.497736514;10039;81;8.892377743;5.046648185;8.309093925;8.404298506
364;-0.449185491;10039;82;9.676466069;5.087797599;8.643554089;9.230192592
365;-0.388325244;10039;83;10.54491824;6.601005607;10.55165882;10.14742045
366;-0.443940252;10039;84;10.97869973;6.357272372;10.52736221;10.52725482
367;-0.384151399;10039;85;11.07285181;6.069217742;10.59646577;10.67270472
